PromoterID,PromName,PromType,PromEmail
11658,AARYAN INFRA-BUILD PRIVATE LIMITED,COMPANY,aryangroupacc@gmail.com
13575,SHRINIVAS ORGANISORS PRIVATE LIMITED,COMPANY,supercity.luxuria2@gmail.com
16310,Vishwanath Builders through Prop Hitesh R Vyas,Individual/Propritorship,tejas@vishwanathbuilders.com
502,Synthesis Corporation,PARTNERSHIP FIRM,thefirstrera@gmail.com
13523,Dushyant  M. Pandya self and sole proprietor of M/s. Vishwanath Buildcon ,Individual/Propritorship,dushyantpandya1965@gmail.com
543,Essem Infra Private Limited,COMPANY,rera@ganeshhousing.net
610,HN SAFAL REALTECH LLP,LIMITED LIABILITY PARTNERSHIP FIRM,sumel8.rera@hnsafal.com
744,FARPOINT PROPERTIES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,one42farpoint@gmail.com
18748,SHIVALIK DEVELOPERS PRIVATE LIMITED,COMPANY,rera.shivalikcurv@gmail.com
1097,APPLEWOODS ESTATE PRIVATE LIMITED,COMPANY,custinfo@applewoods.co.in
1178,SKZ DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,yash.s@bsafal.com
3178,MANAV INFRASTRUCTURE PRIVATE LIMITED,COMPANY,shreebalaji.ashish49@gmail.com
18021,RAGHUVIR DEVELOPERS & BUILDERS,PARTNERSHIP FIRM,raghuvirsierra@gmail.com
17607,DMD DEVELOPERS PRIVATE LIMITED,COMPANY,dmdauravesu1@gmail.com
1431,WTC Noida Development Company Pvt Ltd,COMPANY,rera.wtcgiftabd@gmail.com
18750,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,COMPANY,augusta@adani.com
1496,HAPPY HOME CORPORATION,PARTNERSHIP FIRM,happyexcelencia@sutarwala.in
1541,RAJGREEN INFRASTRUCTURE,PARTNERSHIP FIRM,rera@greengroup.co.in
1588,GLOBALE INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,accounts@globale.co.in
17888,JP ISCON PRIVATE LIMITED,COMPANY,isconvoguerera2023@gmail.com
1853,HAPPY HOME CORPORATION,PARTNERSHIP FIRM,celebritygreen@sutarwala.in
2886,MAHIKA INFRA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,accounts@sheetalinfra.com
8463,GORDHANBHAI V. SARVAIYA(PROPRIETOR OF GOVERDHAN DEVELOPERS),Individual/Propritorship,mayankkubavat@yahoo.co.in
9171,SHIVALIK JHANVI INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,mihir@shivalikgroup.com
4134,SHREE RAM DEVELOPERS,PARTNERSHIP FIRM,gajananconstruction99@gmail.com
6078,AKSHAR PHC REALCON,PARTNERSHIP FIRM,aksharpavilion@gmail.com
4707,SHANTIKRUPA ESTATES PRIVATE LIMITED,COMPANY,info@shantikrupa.com
14102,CLOUD 9 INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,accounts@cloud9infra.in
4883,I T M INFRA,PARTNERSHIP FIRM,itfinfra05@gmail.com
5108,DRB RAVANI DEVELOPERS,PARTNERSHIP FIRM,drbravani@pradeepsinghi.com
5298,134 INFRA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,134pal@gmail.com
16547,ISCON COMMERCIAL COMPLEX PHASE-II,LIMITED LIABILITY PARTNERSHIP FIRM,isconcommercialrera2022@gmail.com
5532,RADHE BUILDSPACE LLP,PARTNERSHIP FIRM,admin@unitedcity.in
5850,D & M INFRA,PARTNERSHIP FIRM,dminfrasurat@gmail.com
6101,SHANTI RESIDENCES PRIVATE LIMITED,COMPANY,accounts@laxmideveloper.com
10883,SWATISANDHYA PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,swatiprocon@gmail.com
10883,SWATISANDHYA PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,swatiprocon@gmail.com
6259,Venus Infrastructure and Developers Private Limited,COMPANY,rera@venusinfrastructure.com
17985,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,COMPANY,rajhans.golflink@gmail.com
17985,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,COMPANY,rajhans.golflink@gmail.com
17985,RAJHANS INFRACON (INDIA) PRIVATE LIMITED,COMPANY,rajhans.golflink@gmail.com
6641,NAVRATNA BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rerancp@navratna.com
7098,HAPPY HOME CORPORATION,PARTNERSHIP FIRM,happybenchmark123@gmail.com
7120,OCTANE INFRA-SPACE,PARTNERSHIP FIRM,bellissimo3@nilambergroup.in
7175,ORANGE CORPORATION,PARTNERSHIP FIRM,orangecorporation1213@gmail.com
18164,HN SAFAL INFRA DEVELOPERS PRIVATE LIMITED,COMPANY,mondeal2.rera@gmail.com
7636,SHREE KRISHNA CORPORATION,PARTNERSHIP FIRM,homeland@khuranabuildcomp.com
8667,R S PROCON,PARTNERSHIP FIRM,accounts@theretailpark.in
7805,TRUE VALUE BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,bsthenorth@gmail.com
8156,AAHNA BUILDSPACE - LLP,LIMITED LIABILITY PARTNERSHIP FIRM,account@shilp.co.in
8567,AVANTIS UNITECH LLP,LIMITED LIABILITY PARTNERSHIP FIRM,unitech@pradeepsinghi.com
8692,SDB DIAMOND BOURSE,COMPANY,info@sdbbourse.com
8986,SWAGAT DEVELOPERS,PARTNERSHIP FIRM,swagatdevelopers.rera@gmail.com
9029,SHAFALYA INFRALINK LLP,LIMITED LIABILITY PARTNERSHIP FIRM,drpatel_hc@yahoo.co.in
11858,SUN REALTY,PARTNERSHIP FIRM,sunatmosphere20@gmail.com
9239,ARMAAN INFRASTRUCTURE,PARTNERSHIP FIRM,shivanishah@armaandevelopers.com
9515,SAINATH BUILDCON,PARTNERSHIP FIRM,sainathbuildcon13@gmail.com
9671,SHREENATHJI INFRA SPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,timessquare03@gmail.com
9876,SHALIGRAM PROPERTIES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,legal@shaligrambuildcon.com
16738,ARVIND LIMITED,COMPANY,saurabh.shah@arvind.in
10826,Ratnaakar Infratech Private Limited,COMPANY,aravalli.rera@ratnaakar.com
10864,,COMPANY,skyvillerera@gmail.com
10875,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,rivierasprings.rera@gmail.com
